objectid,parentid,title,identifier,subject,dimensions,display_template,format,object_location,image_small,image_thumb,image_alt_text,description,notes,other_objects
object_1910,,Sheng head,1910,Sheng head,H:,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4602/full/400,/0/default.jpg",,"Sheng head. Wu. Lao sheng. Military. White, blush face; black eye, brow; natural white three strand stachios attached to sideburns covers mouth. Ying zajin 硬紮巾 style hat with three rows of small blue tone pompoms above natural, ochre, green, red cut diadem, ezi 額子. Front emblem, ciguye 慈菇葉 with five small natural pompom decos. 4 blue pompoms atop 4 green vertical sticks, natural white back upward cloth. Natural neck.",,
object_1910_0,object_1910,DSCN4602.JPG containing object_1910,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4602/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4602/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4602/full/400,/0/default.jpg",image containing object_1910,,,object_1908;object_1909
object_1911,,Sheng head,1911,Sheng head,H:,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4603/full/400,/0/default.jpg",,"Sheng head. Wu. Sheng. Military. White, blush face; black eye, brow; black three strand stachios attached to sideburns covers mouth. Ying zajin 硬紮巾 style hat with three rows of small blue tone pompoms above natural, ochre, green, red cut diadem, ezi 額子. Front emblem, ciguye 慈菇葉 with five small natural pompom decos. 4 natural white pompoms atop 4 green vertical sticks, natural white back upward cloth. Natural neck.",,
object_1911_0,object_1911,DSCN4603.JPG containing object_1911,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4603/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4603/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4603/full/400,/0/default.jpg",image containing object_1911,,,object_1912;object_1913
object_1912,,Sheng head,1912,Sheng head,H:,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4603/full/400,/0/default.jpg",,"Sheng head. Wu. Lao sheng. Open cut natural face, natural ochre long stachios, sideburns form points. Ochre ying zajin 硬紮巾 stiff hat with four verticals, each with 7 small red pompoms at top and middle. Diadem, ezi 額子, with 1 large natural ochre pompom and black ciguye 慈菇葉 bravery symbol. Lacquered natural neck.","See 1238, 1913.",
object_1912_0,object_1912,DSCN4603.JPG containing object_1912,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4603/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4603/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4603/full/400,/0/default.jpg",image containing object_1912,,,object_1911;object_1913
object_1913,,Sheng head,1913,Sheng head,H:,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4603/full/400,/0/default.jpg",,"Sheng head. Wu. Sheng. Black open cut face. Full black opera style beard obscures mouth. Greenish ying zajin 硬紮巾 stiff hat with four ochre verticals, each with 7 small red pompoms at top and middle. Diadem, ezi 額子, with 1 large red pompom and black ciguye 慈菇葉 bravery symbol. Lacquered natural neck.","See 1238, 1912.",
object_1913_0,object_1913,DSCN4603.JPG containing object_1913,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4603/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4603/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4603/full/400,/0/default.jpg",image containing object_1913,,,object_1911;object_1912
object_1914,,Chou head,1914,Chou head,H:,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4604/full/400,/0/default.jpg",,"Chou head. Wu. Chou. Black open cut face; clown patch. Black ‘ba’ 八 stachios, soul patch, pointed beard; red lips. Black ying zajin 硬紮巾 stiff hat with four ochre verticals, each with 7 small red pompoms at top and middle. Diadem with 1 large red pompom and black ciguye 慈菇葉 bravery symbol. Lacquered natural neck.","See 1238, 1912.",
object_1914_0,object_1914,DSCN4604.JPG containing object_1914,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4604/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4604/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4604/full/400,/0/default.jpg",image containing object_1914,,,object_1915;object_1916
object_1915,,Chou head,1915,Chou head,H:,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4604/full/400,/0/default.jpg",,"Chou head. Wu. Chou. Black open cut face, wrinkles; clown patch. Black Dali stachios, soul patch; red lips, teeth, tongue. Black ying zajin 硬紮巾 stiff hat with four ochre verticals, altogether 7 small red pompoms at top and middle. Diadem, ezi 額子, with 1 large red pompom and black ciguye 慈菇葉 bravery symbol. Lacquered natural neck.","See 1238, 1912.",
object_1915_0,object_1915,DSCN4604.JPG containing object_1915,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4604/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4604/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4604/full/400,/0/default.jpg",image containing object_1915,,,object_1914;object_1916
object_1916,,Chou head,1916,Chou head,H:,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4604/full/400,/0/default.jpg",,"Chou head. Wu. Chou. Black open cut face; clown patch. Red lips, teeth, tongue. Black ying zajin 硬紮巾 stiff hat with four green verticals, altogether 7 small red pompoms at top and middle. Diadem, ezi 額子, with 1 large red pompom and black ciguye 慈菇葉 bravery symbol. Lacquered natural neck.","See 1238, 1912.",
object_1916_0,object_1916,DSCN4604.JPG containing object_1916,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4604/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4604/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4604/full/400,/0/default.jpg",image containing object_1916,,,object_1914;object_1915
object_1917,,Chou head,1917,Chou head,H:,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4605/full/400,/0/default.jpg",,"Chou head. Wu. Chou. Flesh face, clown patch extends over nose; triangle eye, swoosh brow. Black Dali stachios, soul patch; closed red lips. Black ying zajin 硬紮巾 stiff hat with four ochre verticals, altogether 7 small red pompoms at top and middle. Large red pompom at ear. Circlet with 1 large red pompom atop central pompom ornament. Lacquered natural neck.","See 1238, 1912.",
object_1917_0,object_1917,DSCN4605.JPG containing object_1917,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4605/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4605/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4605/full/400,/0/default.jpg",image containing object_1917,,,object_1918;object_1919
object_1918,,Chou head,1918,Chou head,H:,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN4605/full/400,/0/default.jpg",,"Chou head. Wu. Chou. Black open cut face, wrinkles, clown patch. Black Dali stachios, soul patch; red lips, teeth, tongue. Black ying zajin 硬紮巾 stiff hat with four green verticals, altogether 7 small red pompoms at top and middle. Large red pompom at ear. Circlet with 1 large red pompom atop central pompom ornament. Lacquered natural neck.","See 1238, 1912.",
