objectno	envelope	oldobjectno	objecttype	description	notes	dimensions	imagenotes	imagename	imagecomments	imageexists	imagetype	imagedesc
399	50	1.388b	Male body	Thunder god body. God of Lightning ? Blue green body, spiked feathers or wings extend from arms; one hand grasps black vajra dagger, one hand holds black mallet with red handle; bare torso and below knees to four talon claws; animal hide, white ground with black markings around neck and waist, pink front tie waist sash and at wrists; red pants beneath. Some fading. 3 rods.		H: 8 ½ x 5 ¼; neck rod 12, hand rods 9 ½.		DSCN5643.JPG	146, 399, 460, 1670	YES		
400	50	1.389b	Male body	Celestial body male. Wide sleeve gown, pink hulu gourd waist toggle; block hands; blue green ground, ‘shou’ roundels in green, red, cut out petals, black hem, embroidered pink flowers, yellow waist sash, deco toggles, blue, red; red platform monk style shoes, black decos. 3 rods.	"Note: twisted wire on one hand rod for holding something. Pencil note corresponds to Ch. Cat. 1b 4上: "" 綠仙衣 乙件 ""."	H: 8 ¼ x 5 ¼; neck rod 12 ¼; hand rods 9 ¾.		P1040509.JPG	400	YES		
401	50	1.390b	Male body	Monk robe body. Wide sleeve dark green monk gown. Large natural bead necklace, natural front tie waist sash, black back cloth; block hands; red platform monk shoes, blue, black deco. 2 rods.	"Damage: Missing one hand rod. Pencil note: "" 綠曾衣 "". Corresponds to Ch. Cat. 1b 3下. "" 綠曾衣 乙件 ""."	H: 8 ¼ x 5 ½; neck rod 12; hand rod 10.		P1040497.JPG	401	YES		
402	49	1.391b	Male body	Thunder god body. God of Thunder ? Pale orange body, blue green, red center spiked feathers or wings extend from arms; one hand grasps black cup shape, one hand holds black mallet with red handle; bare torso and below knees to four talon claws; animal hide, yellow ground with black markings around neck and waist, pink front tie waist sash; blue green ties at wrists; blue pants beneath. 3 rods.	"Damage: One cracked hand rod handle. Pencil note: "" 雷公 "". Corresponds to Ch. Cat. 1a 9下.: ""雷公衣 弍件"". Partially illegible red pencil: ""-[?} -[?] 的人""."	H: 8 ¼ x 5 ¼; neck rod 13, hand rods 9 ¾, 10.		DSCN2844.JPG	402	YES		
403	47	1.392b	Male body	Court robe. Official. Black, front button, wide sleeve court robe with square, buzi, rank badge, bird; block hands, green Manchu cuffs; blue under robe; large orange, blue bead necklace and toggles; black boots. 3 rods.	"Pencil note: ""補褂 弍件"". Corresponds to Ch. Cat. 1a9下."	H: 8 ½ x 6; neck rod 12 ¼, hand rods 10 ¼ .		DSCN2845.JPG	403	YES		
404	47	1.393b	Male body	Court robe. Official. Black, front button, wide sleeve court robe with round, buzi, rank badge, dragon; block hands, blue Manchu cuffs; wave pattern red, blue, green under robe; large natural, green bead necklace and toggles; black boots. 3 rods.	Damage: break at one wide sleeve cuff.	H: 8 ¼ x 5 ½ ; neck rod 12 ¼, hand rods 10.		DSCN2846.JPG	404	YES		
405	47	1.394b	Male body	Gui ghost body. Half black and white wide sleeve gown and animal skin waist cloth; back sleeve, front of gown, back boot are black; natural for rest. 3 rods.	"Damage: Pale pink color has ghost-bled onto natural color. Pencil note: ""陰陽界鬼衣"". Corresponds to Ch. Cat. 1a 6上: ""陰陽鬼衣 弍件""."	H: 8 ¼ x 5 ½; neck rod 11 ¾, hand rods 10.		DSCN2847.JPG	405	YES		
406	47	1.395b	Male body	Gui ghost body. Half black and white wide sleeve gown and animal skin waist cloth; front sleeve, front of gown, back boot are black; natural for rest. 3 rods.	Damage: Pale pink color has ghost bled onto natural color. See pencil note for 405.	H: 8 ¼ x 5 ½; neck rod 12, hand rods 10 ½.		DSCN2848.JPG	406	YES		
407	44	1.396b	Male body	Commoner body. Dusty orange wide sleeve tunic, natural waist cloth, blue front tie ribbon; block hands; red pantaloons tuck into boots, natural shin, black shoe. 3 rods.	"Packed with 408, 409. Pencil note: ""短腰包袴衣"" ""country inn [?] keep [?] type"". Corresponds to Ch. Cat. 2b 8上. ""短腰包袴衣 叁件"". Both docs have 袴 written with 人 radical. Red pencil: ""丑角""."	H: 8 x5 ½; neck rod 12, hand rods 9 ¾.		DSCN2849.JPG|DSCN3732.JPG|DSCN3733.JPG|DSCN3734.JPG|DSCN3735.JPG|DSCN3736.JPG|DSCN3737.JPG|DSCN3738.JPG|DSCN3739.JPG|DSCN3740.JPG|DSCN3741.JPG|DSCN3742.JPG|DSCN3743.JPG|DSCN3744.JPG|DSCN3745.JPG	407|407 body, 801 head|407 body, 801 head|407 body, 801 head|407 body, 801 head|407 body, 1015 head|407 body, 1015 head|407 body, 1015 head|407 body, 1015 head|407 body, 1015 head|407 body, 1015 head|407 body, 1015 head|407 body, 1015 head|407 body, 1015 head|407 body, 1009 head	YES|NO|YES|NO|YES|YES|YES|YES|YES|YES|YES|YES|YES|YES|YES		
408	44	1.397b	Male body	Commoner body. Blue wide sleeve tunic, natural waist cloth, blue front tie ribbon; block hands; blue pantaloons tuck into leggings, natural shin, ornate black deco, blue, grey, black ankle deco, black shoe. 3 rods.	Packed with 407, 409.	H: 8 ¼ x5 ½; neck rod 12, hand rods 10.		DSCN2850.JPG	408	YES		
409	44	1.398b	Male body	Commoner body. Black wide sleeve tunic, natural waist cloth, blue front tie ribbon; block hands; red pantaloons; black shoe, white, grey upper. 3 rods.	Packed with 407, 408.	H: 8 x5 ½; neck rod 12, hand rods 9 ¾.		DSCN3059.JPG	409	YES		
410	48	1.399b	Male body	Oversize monk body. Oversize figure. Red wide sleeve gown, yellow cut out ‘shou’ roundels throughout, open at waist revealing giant belly; fists; black and white cuffs flare with hint of yin yang; bare feet. 3 rods.	"Pencil note: ""彌勒佛"". Corresponds to Ch Cat. 1b 1上:"" 彌勒佛 乙件""."	H: 10 ½  x 8; neck rod 13, hand rods 10 ¾.		DSCN3060.JPG	410	YES		
411	48	1.400b	Male body	Cassock, court robe. Red kese brick cape, green ring, natural clasp over wide sleeve dragon robe in blue with red, blue waves; large maroon bead necklace; block hands; black platform shoes. 3 rods.		H: 8 ¼  x 5 ½; neck rod 12 ¾, hand rods 10.		DSCN3061.JPG	411	YES		
412	46	1.401b	Male body	Court robe, jacket. Black front button, wide sleeve jacket over wave pattern red, blue court robe; bird rank badge, buzi, at chest; large, round blue green bead necklace with front, back toggles; blue Manchu cuffs, block hands; black boots. 3 rods.	See 396 and others.	H: 8 ½ x 6; neck rod 12, hand rods 10 ¼.		DSCN3067.JPG	412	YES		
413	46	1.402b	Male body	Court robe, jacket. Black front button, wide sleeve jacket over blue court robe; bird rank badge, buzi, at chest; large, round orange, purple bead necklace with front, back toggles; blue green Manchu cuffs, block hands; black boots. 3 rods.	See 396 and others.	H: 8 ½ x 6; neck rod 11 ½, hand rods 9 ¾, 10.		DSCN3068.JPG	413	YES		
414	46	1.403b	Male body	Gentry, male body. Black front button, wide sleeve jacket over blue robe; red, green lining; blue cuffs, block hands; white leggings; black boots. 3 rods.	Envelope #46. Old Object #1.403b. See 397. See Simon pp 86,87, heibanyi 黑板衣, ex 87.	H: 8 ½ x 5 ½ ; neck rod 11 ¾, hand rods 10 ¼.		DSCN3069.JPG	414	YES		
415	45	1.404b	Figure	Lü Dongbin, immortal body. Yellow wide sleeve robe, crane roundels; blue edging, red hulu gourd, banana leaf, white flower embroidery; blue waist tie, toggles back; block hands; black platform shoes. 3 rods.	"Spectacular object. Twisted metal at one hand rod for holding something. See 398, 416-418. Pencil note:"" 黃鸖氅 呂洞賓 "". Corresponds to Ch. Cat. 1b2上: ""黃鸖仙氅 乙件""."	H: 8 ½ x 5 ½; neck rod 12 ¼ , hand rods 9 ½.		DSCN3065.JPG|DSCN3066.JPG	415|415	YES|YES		
416	45	1.405b	Male body	Monk robe body. Diamond pattern wide sleeve gown in yellow, black, blue; natural large bead necklace; block hands, red waist tie, front tie and back toggles; large red flowers at hem; red platform shoes, black, blue decos. 3 rods.	"Neck rod handle missing. See 398, 415, 417, 418. Pencil note: ""百衲 －[?] 僧"". Corresponds to Ch. Cat.1b 3上: ""百衲僧衣乙件""."	H: 8 ½ x 5 ¾; neck rod 5 ¾; hand rods 9 ½, 9 ¾.		DSCN3064.JPG	416	YES		
417	45	1.406b	Male body	Daoist robe male. Red wide sleeve robe, natural bagua 八卦 on sleeves and gown lower portion; yin yang roundel visible on chest and back; blue edging, red hulu gourd, banana leaf, white flower embroidery; red, blue large bead necklace, toggles back; block hands; black platform shoes. 3 rods.	"Twisted metal at one hand rod for holding something. See 398, 415, 416, 418. Pencil note: ""八卦衣－[?]道"". Corresponds to Ch. Cat. 1b 2下: ""八卦衣 叁件""."	H: 8 ½ x 5 ½; neck rod 11 ½, hand rods 9 ¾.		DSCN3062.JPG	417	YES		
418	45	1.407b	Male body	Daoist robe male. Deep red wide sleeve robe, black bagua 八卦 on sleeves and gown lower portion; yin yang roundel visible on chest and back; black edging, red flower embroidery; block hands; red platform shoes, black decos. 3 rods.	Damage: Shoulder area warped. Note: Twisted metal at one hand rod for holding something. See 415, 417, 398.	H: 8 x 5 ½; neck rod 12 ¼, hand rods 9 ¾, 10.		DSCN3063.JPG	418	YES		
419	43	1.408b	Male body	Military male. Pale orange wide sleeve tunic over button close sleeve; fists; natural waist cloth extends back, front tie natural sash; red pantaloons tuck into white upper black monk shoes. 3 rods.	"Pencil note ATTACHED TO WRONG FIGURE: ""魚翁衣"". Corresponds to Ch. Cat. 2b 7下: "" 魚翁 弍件 ""."	H: 8 ½ x 5 ¾; neck rod 12, hand rods 10.		DSCN3055.JPG	419	YES		
420	43	1.409b	Male body	Criminal clothes, male. Dusty red wide sleeve tunic over same loose pants; block hands; natural waist cloth extends back; bottom of front natural sash visible; white upper black, brown deco monk shoes. 3 rods.	Damage: break at sleeve cuff. Envelope #43. Old Object #1.409b. See Broman p 112 ex 226, zuifanyi 罪犯衣. See Simon p 86 ex 85 nü zuiyi 女罪衣 and ex 86 nan zuiyi 男罪衣.	H: 8 ¼ x 5 ½; neck rod 12 ¼, hand rods 10 ¼.		DSCN3056.JPG	420	YES		
421	43	1.410b	Male body	Plain gown, jacket, male. Black close sleeve lapel gown, deep blue Manchu cuffs and lapel edge; block hands; white front waist tie sash; black platform shoes; bit of red indicates red trousers under gown. 3 rods.	"See Simon pp 79, 80, shan 衫 changguazi長褂子 , ex 38. Pencil note: ""青素箭衣 捕快"". Is it correctly attached to figure? Corresponds to Ch. Cat. 2b 6下: ""青素箭衣 乙件"". Envelope #43. Old Object #410b."	H: 8 x 5 ½; neck rod 11 ½, hand rods 10.		DSCN3045.JPG|DSCN3046.JPG	421|421	YES|YES		
422	42	1.411b	Male body	Immortal male body. Immortal body. Black wide sleeve tunic, open revealing belly; fists; wide green flat leaves tucked into yellow waist sash, red hulu gourd hangs from waist; red loose pants to knee; bare lower leg and feet. 3 rods.	"See 423. Pencil note: ""和合二仙"". Corresponds to 1b 6上: ""和合二聖仙衣 弍件"". [Usually the two HeHe are 合和.]"	H: 8 ½ x 5 ½; neck rod 11 ¾, hand rods 9 ½, 9 ¾.		DSCN3038.JPG	422	YES		
423	42	1.412b	Male body	Immortal male body. Immortal body. Black wide sleeve tunic, open revealing belly; fists; wide green flat leaves tucked into yellow waist sash, red hulu gourd hangs from waist; red loose pants to knee; bare lower leg and feet. 3 rods.	See 422.	H: 8 ½ x 5 ½; neck rod 11 ¾, hand rods 9 ¼.		DSCN3039.JPG	423	YES		
424	42	1.413b	Figure	Li Tieguai immortal male. Black wide sleeve tunic red hulu gourd sleeve and loose trouser decos, open revealing belly; fists each with yellow bracelet ring; red front tie waist sash; one knee bent as if running fast; bare lower leg; straw slit shoes. 3 rods.	"Damage: warpage at one upper arm. Like many of the cards, this one shows clear imprint of oil from shadow figure, straw shoe. Pencil note: ""瘸李仙衣"". Corresponds to Ch. Cat. 1b 6下: ""痂棍李仙 乙件"". [If this is Li Tieguai 李鐵拐, where's his iron crutch?]"	H: 8 ½ x 5 ¾; neck rod 12 ¼, hand rods 9 ¾, 10.		DSCN3040.JPG	424	YES		
425	41	1.414b	Child body	Child body. Red close sleeve tunic, side fastening over same loose trousers; fists emerge from cuffs, not hinged; black platform shoes. 3 rods.	Envelope #41. Old Object #414b.	H: 8 ¼ x 5 ½; neck rod 12, hand rods 9.		DSCN3050.JPG	425, 426	YES		
426	41	1.415b	Child body	Child body. Red close sleeve tunic, front buttons over same loose trousers; black front tie waist sash; block hands; white upper, black monk ? shoes. 3 rods.	"Pencil note: ""赤衣弍件"". Hardly corresponds with Ch. Cat. 2a 7上: "" 赤背綠褲衣 四件 ""."	H: 8 ¼ x 5 ½; neck rod 12 ½, hand rods 10.		DSCN3050.JPG	425, 426	YES		
427	41	1.416b	Male body	Servant or other male. Yellow wide sleeve gown; white, pale green pleated high waist apron, opens front; block hands; black front tie above waist; yellow waist sash ties front; red monk ? shoes, black yellow decos. 3 rods.	"See 428. Pencil note: ""黑紫花素褶子腰包衣"". Corresponds with 2b 6上: ""黑紫花素褶子腰包衣 弍件"". Illegible red pencil note - - - -."	H: 8 ¼ x 5 ¼; neck rod 12 ¼, hand rods 10.		DSCN3057.JPG	427	YES		
428	41	1.417b	Male body	Servant or other male. Black wide sleeve gown; white pleated high waist apron; block hands; pale blue front tie above waist matches sleeve lining; black platform shoes. 3 rods.	See 427. Damage; one hand uneven side, chewed off ?; one hand rod handle missing.	H: 8 x 5; neck rod 12, hand rods 5 ¾, 9 ½.		DSCN3058.JPG	428	YES		
429	40	1.418b	Male body	Servant male. Yellow wide sleeve front button jacket over blue green Manchu cuffs; block hands; white front tie waist sash; green pleated back cloth over black pantaloons tucked into black boots with blue decos. 3 rods.	"See 430. Damage: missing handle of one hand rod; faded. Pencil note (starts with two illegible characters): ""-[?]-[?] 黃馬褂挎衣 弍件"". Also written in pencil, (possibly Benton's or Humphrey's hand): ""Acrobats with traveling jackets."" Chinese designation corresponds to Ch. Cat. 2b 9下: ""黃馬褂挎衣 弍件""."	H: 8 ¼ x 5 ¼; neck rod 11 ¾; hand rods 5 ¾, 9 ¾.		DSCN3051.JPG	429, 430	YES		
430	40	1.419b	Male body	Servant male. Yellow wide sleeve front button jacket over pink cuffs; fists; white front tie waist sash; blue green pleated back cloth over black pantaloons tucked into black boots with blue decos. 3 rods.	See 429. Damage: Faded. Lower handle of one hand rod shows what could be evidence of insect chewing.	H: 8 ¼ x 5 ¾; neck rod 11 ½, hand rods 9 ¾.		DSCN3051.JPG	429, 430	YES		
431	39	1.420b	Male body	Immortal male body. Naked except for cut banana leaf cloud collar and skirt; fists; red sashes tie front at neck and waist. 3 rods.	Damage: Break at collar leaf area; appears faded, not tacky from oil, in comparison with 432 and 433. Pencil note: 赤背樹裙仙衣 三件. Corresponds to Ch. Cat. 2b 9上. Illegible red pencil on same card.	H: 8 ¼ x 5 ¼; neck rod 12 ½, hand rods 9 ¾.		DSCN3035.JPG	431	YES		
432	39	1.421b	Male body	Immortal male body. Naked except for cut banana leaf cloud collar and skirt; grey vertical scar or hairy chest; fists; red sashes tie front at neck and waist, tacky with oil. 3 rods.	Same as 433, compare 431.	H: 8 x 5 ½; neck rod 12 ¾, hand rods 10 ½, 11 ½.		DSCN3034.JPG|DSCN3037.JPG	432|432	YES|YES		
433	39	1.422b	Male body	Immortal male body. Naked except for cut banana leaf cloud collar and skirt; grey vertical scar or hairy chest; fists; red sashes tie front at neck and waist, tacky with oil. 3 rods.	Same as 432, compare 431.	H: 8 x 5 ½; neck rod 12 ¾, hand rods 10 ¾.		P1040505.JPG	433	YES		
434	38	423	Sheng head	Sheng head, boy. Boy sheng. Small size, open cut, black fringe cut hair, emblem on top of head; small crown in blue at back of head, red; red pompom above emblem in green, red; black cloth extends back.		H: 3 x 2 ¼; face height 1 1/8.		DSCN4657.JPG	434, 435, 436	YES		
435	38	424	Dan head	Dan head. Dan head. Celestial. Open cut, close fitting black cloth, extends back; red circlet above slit cut black hair, bangs; twin ya bound in red with flower sprig each; small green ear ring.		H: 3 ¼ x 2 ¼; face height 1 ¼.		DSCN4657.JPG	434, 435, 436	YES		
436	38	425	Chou head	Chou Head. Chou. Pink face, black markings, triangle eye, black outlined red lips; close fitting black cloth, extends back; slit cut black hair, bangs; red pompom above small crown in blue green, red, yellow at back of head; green pompom above front emblem in cut red, green.	See 1.426.	H: 3 ¾ x 2 ¼; face height 1 1/8.		DSCN4657.JPG	434, 435, 436	YES		
437	38	426	Jing head	Jing Head. Jing. Red flesh face, black, white accents; blue hat in the form of a chicken covers entire head, ties under chin; red comb, natural beak, black eye, red and light blue cut feathers.	See 1.425.	H: 3 ¾ x 2 ¼; face height 1 1/8.		DSCN4658.JPG	437, 438, 439	YES		
438	38	427	Chou head	Chou Head. Chou. Flesh face, cut eye patch, red circle low on cheek; hat in the form of a blue chicken covers entire head, ties under chin; red comb, natural beak, black eye, natural and light blue cut feathers.		H: 3 ¾ x 2 ½; face height 1 1/8.		DSCN4658.JPG	437, 438, 439	YES		
439	38	428	Jing head	Jing head. Chou. Grey ground, black, white markings, downward red mouth; close fitting black cloth, extends back; red, green circlet above slit cut black hair, bangs; twin ya bound in red.	See 1.424.	H: 3 ¼ x 2 ½; face height 1 1/8.		DSCN4658.JPG	437, 438, 439	YES		
440	38	429	Jing head	Jing Head. Jing. Brown painted face, black, natural highlights, frowning closed red mouth; natural neck. Black fringe cut bangs, sideburn; red circlet and ties for twin open cut ‘ya’ style knots; black cloth extends back.		H: 3 ¼ x 2 ¼, face height 1 ¼.		DSCN4659.JPG|DSCN4660.JPG|DSCN4661.JPG|DSCN4662.JPG	440, 451, 452|440, 451, 452|440, 451, 452|440, 451, 452	YES|YES|YES|YES		
441	38	1.430b	Female body	Servant female. Girl body. Pink to red wide sleeve tunic, black, blue, blue-green, natural decos and edging; over close sleeves. Long vest over tunic. Block hands; blue high waist sash ties front; white cut sash, black bat deco hangs front below knee; waist toggles; blue green harem pants, cut out quatrefoil decos, black ankle tie at bound feet, red lotus shoes. 2 rods.	"See 442. Damage: one hand rod detached from fragile string tie; other hand rod missing handle; all rods rusty. Pencil note: ""女孩丫环衣 乙件"". ""lady acrobat"". Corresponds with Ch. Cat. 4a 10下."	H: 6 ¾ x 4 ¼; neck rod 7 ¾, hand rods 6, 8 ½.		DSCN4218.JPG	441, 442	YES		
442	38	1.431b	Female body	Servant female. Girl body. Blue green knee length wide sleeve gown, black, pink, pale pink, natural decos; over close sleeves; block hands; natural white cut sash, black bat deco hangs front below knee; waist toggles; cut out repeat decos at hem; bound feet, red, blue green lotus shoes. 3 rods.	See 441. Damage: Neck rod detached from fragile string tie; all rods rusty.	H: 6 ¾ x 4 ¼; neck rod 10 ¾, hand rods 8 ¾, 9.		DSCN4218.JPG	441, 442	YES		
443	38	1.432b	Female body	Gentry, female body. Girl body. Peach ground wide sleeve gown, pink, green cloud collar tippet; black, blue, pink, blue green stripes at sleeve hem; block hands; flower deco cut pendants hang from collar, skirt panels and pleats all colors cut deco; bound feet, red, blue green lotus shoes. 3 rods.	Very detailed. See 441. Envelope #38. Old Object #1.432b. See Simon p 76 ex 15, chang 氅.	H: 6 ¼ x 4 ¼; neck rod 10 ¾, hand rods 8 ½, 8 ¾.		DSCN4219.JPG	443	YES		
444	38	1.433b	Male body	Servant male, boy. Boy body. Black wide sleeve tunic; natural high waist pleated apron to knee, blue ribbon ties front; block hands; red pantaloons tuck into white upper, black cloth shoes, blue decos. 3 rods.		H: 6 ¾ x 4 ¼; neck rod 10, hand rods 7 ¾.		DSCN4220.JPG	444	YES		
445	37	1.434b	Male body	Soldier. Naked to waist, tiger skin shoulder cloak, matching waist skin and boots; one piece forearm and fists, red wrist ties, muscular arms; red neck, waist sashes tie front; blue pantaloons, red lining to knee reveal muscular calves; 3 rods.	"Same as 446. Pencil note: ""赤背虎皮裙衣"". Two illegible characters on card, one may be 鬼 . Corresponds to Ch. Cat. 1b 5下:"" 赤背虎皮裙衣 叁件""."	H: 8 x 5 ¼; neck rod 12 ½, hand rods 9 ¾.		DSCN3043.JPG	445	YES		
446	37	1.435b	Male body	Soldier. Naked to waist, tiger skin shoulder cloak, matching waist skin and boots; one piece forearm and fists, red wrist ties, muscular arms; red neck, waist sashes tie front; blue pantaloons, red lining to knee reveal muscular calves; 3 rods.	Same as 445, except shoulder torso part of tiger skin unpainted.	H: 8 x 5 ¼; neck rod 12 ½, hand rods 10,10 ¼.		DSCN3044.JPG	446	YES		
447	37	1.436b	Male body	Gentry, male body. Yellow front button court robe, wide sleeves over black Manchu cuffs; red cross chest sash; block hands; red, green blue wave pattern wide hem; black shoes.	"Damage: break at one sleeve cuff. Pencil note: ""黃褂蟒袍"". Two illegible characters in red pencil on card. Corresponds to Ch. Cat. 1b 5上:""黃褂蟒袍 乙件""."	H: 8 ¼ x 5 ½; neck rod 11 ¾, hand rods 9, 9 ¼.		DSCN3047.JPG	447	YES		
448	34	1.437b	Male body	Hero, male. Red wide sleeve robe, incised bamboo pattern black leaves, natural stems, green lining; block hands; natural front tie waist sash; incised butterfly pattern on shin of black boots, incised fish uppers. 3 rods.	Envelope #34. Old Object #1.437b. See 515. See Simon pp 77, 78 yingxiong chang 英雄氅 ex 20.	H: 8 ¼ x 5 ½; neck rod 12 ¼, hand rods 9 ½, 10.		DSCN3048.JPG	448, 515	YES		
449	34	1.438b	Male body	Hero, male. Black wide sleeve robe, incised white, red flower pattern green leaves, natural stems, red lining; fists and button close cuff; black front tie waist sash; incised butterfly pattern on shin of blue boots, incised green pattern uppers and tops. 3 rods.	Envelope #34. Old Object #1.438b. See Simon pp 77, 78 yingxiong chang 英雄氅 ex 20. Same style as 450.	H: 8 ¼ x 5 ½; neck rod 12 ¼, hand rods 9 ½, 10.		DSCN3049.JPG	449, 450	YES		
450	34	1.439b	Male body	Hero, male. Green wide sleeve robe, incised red, white flower pattern, natural leaves stems, red lining; fists and button close cuff; natural front tie waist sash; incised butterfly pattern on shin of black boots, blue tops, incised green pattern uppers. 3 rods.	Damage: Break at one sleeve. Same style as 1.438b. Envelope #34. Old Object #1.439b. See Simon pp 77, 78 yingxiong chang 英雄氅 ex 20.	H: 8 ¼ x 5 ½; neck rod 12 ¼, hand rods 10.		DSCN3049.JPG	449, 450	YES		
451	36	440	Dan head	Chou dan hinged head. Two faces, hinged flip-faces, open cut dan and flesh face with eye closed, no blood; simple upswept hair knot, red tie at nape; small faded earring.	See also 1.441, 1.442.	H: 3 x 2 ½.		DSCN4659.JPG|DSCN4660.JPG|DSCN4661.JPG|DSCN4662.JPG	440, 451, 452|440, 451, 452|440, 451, 452|440, 451, 452	YES|YES|YES|YES		
452	36	441	Dan head	Chou dan hinged head. Two faces, hinged flip-faces, open cut chou dan and open cut chou dan with blood running down forehead, both with clown eye open; simple hair knot, red tie at nape and at small knot; small faded earring.	Damage: Break at nostril on bloody face. See also 1.440, 1.442, 1.461 and others.	H: 2 ¼ x 2 ¼.		DSCN4659.JPG|DSCN4660.JPG|DSCN4661.JPG|DSCN4662.JPG|P1050008.JPG	440, 451, 452|440, 451, 452|440, 451, 452|440, 451, 452|40, 452	YES|YES|YES|YES|YES		
453	36	442	Dan head	Chou dan hinged head. Two faces, hinged flip-faces, open cut chou dan and open cut blind chou dan; same as 1.441 simple hair knot, red tie at nape and at small knot; small faded earring.	Bend at hair knot. See also 1.440, 1.441.	H: 2 ¼ x 2 ¼.		DSCN4663.JPG|DSCN4664.JPG|DSCN4665.JPG|DSCN4666.JPG|DSCN4667.JPG	453, 454, 455|453, 454, 455|453, 454|453, 454, 455|453	YES|YES|YES|YES|NO		
454	36	443	Dan head	Chou dan head. Chou dan, open cut; upswept hair knot, blue two tone hair band ties at nape and extends back; small faded earring.	Same hair as 1.463.	H: 4 ½ x 2 ¾.		DSCN4663.JPG|DSCN4664.JPG|DSCN4665.JPG|DSCN4666.JPG	453, 454, 455|453, 454, 455|453, 454|453, 454, 455	YES|YES|YES|YES		
455	36	444	Dan head	Chou dan head. Lao chou dan, open cut; black wrinkle ends in red cheek dot; simple small hair knot, red tie; front cloth head band, red front dot, black, blue, green pattern; small faded earring.		H: 2 ½ x 2 ½.		DSCN4663.JPG|DSCN4664.JPG|DSCN4666.JPG	453, 454, 455|453, 454, 455|453, 454, 455	YES|YES|YES		
456	36	445	Dan head	Dan head. Chou ? dan, open cut; black stylized eye wrinkle; no eye patch; red cheek dot; black hair and stylized brow; small hair knot, red tie; simple front cloth head band, red, natural front dot, black, blue; small blue earring.	Similar to 1.446.	H: 2 ¾ x 2 ½.		DSCN4668.JPG	456, 457, 458	YES		
457	36	446	Dan head	Dan head. Lao dan. Lao chou dan? Open cut face; black stylized eye wrinkle; no eye patch; red cheek dot; black stripe painted hair and stylized brow; simple upward hair knot, red tie; simple front cloth head band, red, natural front dot, black, green; small green earring.	Similar to 1.445.	H: 2 ¾ x 2 ½.		DSCN4668.JPG	456, 457, 458	YES		
458	36	447	Chou head	Chou head. Chou, open cut; eye patch; red cheek dot; black hair and brow; incised crown in red, green, yellow sits funny at very top of head, large red front pompom; red back tie. Small size.	Damage: Nose, mouth, chin missing; bits of tape evident.	H: 3 ¼ x 2 ½.		DSCN4668.JPG	456, 457, 458	YES		
459	36	448	Sheng head	Sheng head. Sheng, open cut; natural diadem, ezi 額子, black martial arrow; green, red front emblem; white pompom; white cloth uplift helmet, red and green pompoms atop 7 sticks.	Small size.	H: 3 ¼ x 2.		DSCN4669.JPG	459, 460, 461	YES		
460	36	449	Sheng head	Sheng head. Sheng, open cut; ya tou 丫頭, red ribbons, black fringe around face. Small size.	Same as 1.450. Paired with body 146 in 2009-2010 exhibition.	H: 3 x 2 ¼.		DSCN4669.JPG|DSCN5643.JPG	459, 460, 461|146, 399, 460, 1670	YES|YES		
461	36	450	Sheng head	Sheng head. Sheng, open cut; ya tou丫頭, red ribbons, black fringe around face. Small size.	Same as 1.449.	H: 3 x 2 ¼.		DSCN4669.JPG	459, 460, 461	YES		
462	36	451	Dan head	Dan head. Dan or hua dan, open cut; red pompom above incised butterfly head deco; black fringe around face; earring. Small size.	Same as 1.452, different butterfly colors.	H: 2 ½ x 1 ¾.		DSCN4670.JPG	462, 463	YES		
463	36	452	Dan head	Dan head. Dan or hua dan, open cut; red pompom above incised butterfly head deco; black fringe around face; earring. Small size.	Same as 1.451, different butterfly colors.	H: 2 ½ x 1 ¾.		DSCN4670.JPG	462, 463	YES		
464	36	453	Sheng head	Sheng head, boy. Sheng boy, open cut; black fringe around face; ¾ face tiger hat ties under chin, extends back. Small size.	See 1.454.	H: 3 x 2 ½.		DSCN4671.JPG	464, 465	YES		
465	36	454	Sheng head	Sheng head, boy. Sheng boy, open cut; black fringe around face; ¾ face demon hat ties under chin, extends back. Green blue, incised texture, black mane, red brows, white horns. Small size.	See 1.453.	H: 3 ¼ x 2 ¼.		DSCN4671.JPG	464, 465	YES		
466	36	455	Sheng head	Sheng head, boy. Sheng boy, open cut; black incised fringe around pale green shaved head. Small size.	Same as 1.456.	H: 2 x 1 ¾.		DSCN4672.JPG	466, 467, 468	YES		
467	36	456	Sheng head	Sheng head, boy. Sheng boy, open cut; black incised fringe around pale green shaved head. Small size.	Same as 1.455.	H: 2 x 1 ¾.		DSCN4672.JPG	466, 467, 468	YES		
468	36	457	Sheng head	Sheng head, boy. Sheng boy, open cut; 3 black hair mounds at temple, over both ears, pale green shaved head. Small size.	Same as 1.458.	H: 2 x 2.		DSCN4672.JPG	466, 467, 468	YES		
469	36	458	Sheng head	Sheng head, boy. Sheng boy, open cut; 3 black hair mounds at temple, over both ears, pale green shaved head. Small size.	Same as 1.457.	H: 2 x 2.		DSCN4673.JPG	469, 470, 471	YES		
470	36	459	Sheng head	Sheng head, boy. Sheng boy, open cut; 3 black hair patches at temple, over both ears; red bound top knot and twin incised braids bound together at back; pale green shaved head. Small size.	Same as 1.460.	H: 3 ¼ x 1 ¾.		DSCN4673.JPG	469, 470, 471	YES		
