objectno	envelope	oldobjectno	objecttype	description	notes	dimensions	imagenotes	imagename	imagecomments	imageexists	imagetype	imagedesc
1275	14 #7 5	3.1306	Jing head	Jing head. Wu jing rebel king. Small crown, diadem similar to 1259. Black crown, red, green, mustard (shows golden when backlit) cut decorations. Red tassel hangs at back, black ciguye 慈菇葉 and back cloth by natural furs and pheasant feathers. Diadem, ezi 額子, painted black stripe pate and manran 滿髯; white painted face with red stripe from forehead down nose; grey brow and heavy black eye, light lacquer, natural neck.	See also 1284. Old object number 3.1306.	H:		DSCN2973.JPG	1274, 1275, 1276	YES		
1276	14 #7 5	3.1307	Jing head	Jing head. Wen jing rebel official. Square shamao hat, pheasant feathers and natural furs; 2 small yellow baby dragons in profile with 2 small red pompoms, 2 large red pompoms, diadem, ezi 額子. Black hat, green, white, red, yellow cut decorations. White with blush painted face, black 3 strand chou san. Unlacquered. Natural neck.	See 1267, 1291.	H:		DSCN2973.JPG	1274, 1275, 1276	YES		
1277	14 #7 5	3.1308	Jing head	Jing head. Wen jing rebel demon king or minister. Same hat, face but different colors on face as 1271. Deep blue, green painted face with same whorls.	See 1271. Carver might have deliberately left ends of furs thicker as they show a 3d effect when backlit, but less so on 1271, 1280.	H:		DSCN2974.JPG|DSCN2976.JPG	1277, 1278, 1279|1277	YES|NO		
1278	14 #7 5	3.1309	Jing head	Jing head. Wu jing rebel. Same filigree shamao as 1268, different color scheme, black with blue decorations, also grey, natural, red, green, 2 large red pompoms, natural furs, twin pheasant feathers; ciguye 慈菇葉, central ornament. Maroon cut painted face; stylized black eye, white, grey stylized brow, full manran 滿髯; flesh ear, natural neck, light lacquer.	See 1268.	H:		DSCN2974.JPG	1277, 1278, 1279	YES		
1279	14 #7 5	3.1310	Creature head	Tiger head. Black tiger spirit. Rebel general? Tiger head helmet, hat, 3/4 face, fierce black eyes, whiskers, teeth, red to pink brows. Diadem, 1 large red pompom, ciguye 慈菇葉, pheasant feathers, natural furs. Painted tiger stripe face, large crescent style black eye; red to pink brow, blue outlined, closed red rubbery lips, red pate, natural neck, unlacquered.		H:		DSCN2974.JPG|DSCN2975.JPG	1277, 1278, 1279|1279	YES|NO		
1280	14 #7 5	3.1311	Jing head	Jing head. Wen jing rebel minister. Black shamao with orange decorated edge, 2 large red pompoms, central ornament, 4 small black pompoms, oblong gauze fins; twin pheasant feathers, furs. White and blush painted face, black chou san 丑三 long beard. Light lacquer, natural neck.	Same note as 1277.	H:		DSCN2977.JPG	1280, 1281, 1282	YES		
1281	14 #7 6	3.1312	Jing head	Jing head. Wu jing rebel. Grey and filigree shamao, different maker from 1278, but same rank may be indicated. Blue, green, yellow, natural, pink to red, cut decorations. 2 large, red pompoms, ciguye 慈菇葉, twin furs and pheasant feathers. Red painted face with cut black stylized brow and crescent eye, yellow cut coin emblem on cheek. Flesh cut dot on forehead and same tone on furs and neck; full black manran 滿髯 cleverly attached with 4 plugs at time of making.		H:		DSCN2977.JPG	1280, 1281, 1282	YES		
1282	14 #7 6	3.1313	Jing head	Jing head. Wu jing rebel. Shamao coloration sameas 1268 but for black bit at back. Mustard cut painted face shows golden when backlit; black circle oulined in red on bridge of nose, stylized fierce black eye, white stripe above it, full black manran, flesh ear, natural neck; unlacquered.	Same helmet as 1268, 1278 but different maker.	H:		DSCN2977.JPG	1280, 1281, 1282	YES		
1283	14 #7 6	3.1314	Jing head	Jing head. Lao wen jing rebel king. All carving and coloring same as 1261 except stripe on nose is black.	Same maker as 1261. See 1261, 1265, 1269.	H:		DSCN2978.JPG	1283, 1284, 1285	YES		
1284	14 #7 6	3.1315	Chou head	Chou head. Xiao wu chou rebel king (?) Small crown in black, yellos, green cut edge as 1275 with front flower. 2 large red pompoms, ciguye 慈菇葉, red tassel hangs back, diadem, ezi 額子, black back cloth between furs and pheasant feathers. Open cut black face, clown patch, red dot on cheek, teeth; lacquered; natural neck.	See 1275.	H:		DSCN2978.JPG	1283, 1284, 1285	YES		
