objectid,parentid,title,subject,display_template,format,object_location,image_small,image_thumb,image_alt_text,description,object_thumb,object_location,reference_url
"object_0017","","Jing head","Jing head","compound_object","","","","/objects/thumbs/dscn5556_th.jpg","","Jing head. Wu. Jing. Demon. Painted flesh face, mournful expression created by eye and stachio. Black swoosh shape eye; thick black greasepaint stachio to ear; black to grey ear tufts; black hexagonal minister hat, black top knob; green fillet; short red neck ribbon. Lacquered.","http://localhost:4000/shadowfigures/objects/thumbs/dscn5556_th.jpg","","http://localhost:4000/shadowfigures/items/object_0017.html"
"object_0017_0","object_0017","","","image","image/jpg","/objects/dscn5556.jpg","/objects/small/dscn5556_sm.jpg","/objects/thumbs/dscn5556_th.jpg","image containing object_0017","","http://localhost:4000/shadowfigures/objects/thumbs/dscn5556_th.jpg","http://localhost:4000/shadowfigures/objects/dscn5556.jpg","http://localhost:4000/shadowfigures/items/object_0017.html#object_0017_0"
"object_0018","","Jing head","Jing head","compound_object","","","","/objects/thumbs/dscn5556_th.jpg","","Jing head. Wu chou. Demon. White, grey, pink blush painted face, mournful expression created by eye and stachio. Black crescent eye; thick black greasepaint stachio to ear; black to grey ear tufts; yellow hexagonal minister hat, blue clouds on each facet, black, green accents; yellow, black top knob; white diadem, ezi 額子, green central emblem, large red front pompom; black 慈菇葉 martial arrow; red neck ribbon. No lacquer.","http://localhost:4000/shadowfigures/objects/thumbs/dscn5556_th.jpg","","http://localhost:4000/shadowfigures/items/object_0018.html"
"object_0018_0","object_0018","","","image","image/jpg","/objects/dscn5556.jpg","/objects/small/dscn5556_sm.jpg","/objects/thumbs/dscn5556_th.jpg","image containing object_0018","","http://localhost:4000/shadowfigures/objects/thumbs/dscn5556_th.jpg","http://localhost:4000/shadowfigures/objects/dscn5556.jpg","http://localhost:4000/shadowfigures/items/object_0018.html#object_0018_0"
"object_0019","","Chou head","Chou head","compound_object","","","","/objects/thumbs/dscn5557_th.jpg","","Chou head. Wu chou. Demon. Flesh painted face, white natural eye patch covers nose. Black triangle stylized eye; thick black greasepaint stachio to ear; black to grey ear tufts; yellow hexagonal minister hat, blue clouds on each facet, black, green accents; yellow, black top knob; white diadem, ezi 額子, green central emblem, large red front pompom; black 慈菇葉 martial arrow; red neck ribbon. No lacquer.","http://localhost:4000/shadowfigures/objects/thumbs/dscn5557_th.jpg","","http://localhost:4000/shadowfigures/items/object_0019.html"
"object_0019_0","object_0019","","","image","image/jpg","/objects/dscn5557.jpg","/objects/small/dscn5557_sm.jpg","/objects/thumbs/dscn5557_th.jpg","image containing object_0019","","http://localhost:4000/shadowfigures/objects/thumbs/dscn5557_th.jpg","http://localhost:4000/shadowfigures/objects/dscn5557.jpg","http://localhost:4000/shadowfigures/items/object_0019.html#object_0019_0"
"object_0020","","Jing head","Jing head","compound_object","","","","/objects/thumbs/dscn5557_th.jpg","","Jing head. Wu jing. Demon. Painted flesh face, blush, large black stylized eyebrow; mournful expression created by eye and stachio. Black swoosh shape eye; thick black greasepaint stachio; black to grey ear tufts; black hexagonal minister hat, natural white, blue accents, black top knob; black 慈菇葉 martial arrow; red neck ribbon. Lacquered.","http://localhost:4000/shadowfigures/objects/thumbs/dscn5557_th.jpg","","http://localhost:4000/shadowfigures/items/object_0020.html"
"object_0020_0","object_0020","","","image","image/jpg","/objects/dscn5557.jpg","/objects/small/dscn5557_sm.jpg","/objects/thumbs/dscn5557_th.jpg","image containing object_0020","","http://localhost:4000/shadowfigures/objects/thumbs/dscn5557_th.jpg","http://localhost:4000/shadowfigures/objects/dscn5557.jpg","http://localhost:4000/shadowfigures/items/object_0020.html#object_0020_0"
"object_0021","","Jing head","Jing head","compound_object","","","","/objects/thumbs/dscn5557_th.jpg","","Jing head. Wu jing. Demon. Painted flesh face, blush, thin black brow; mournful expression created by eye and stachio. Black swoosh shape eye; thick black greasepaint stachio; black to grey ear tufts; black hexagonal minister hat, white, blue accents, black top knob; black 慈菇葉 martial arrow; red neck ribbon. Lacquered.","http://localhost:4000/shadowfigures/objects/thumbs/dscn5557_th.jpg","","http://localhost:4000/shadowfigures/items/object_0021.html"
"object_0021_0","object_0021","","","image","image/jpg","/objects/dscn5557.jpg","/objects/small/dscn5557_sm.jpg","/objects/thumbs/dscn5557_th.jpg","image containing object_0021","","http://localhost:4000/shadowfigures/objects/thumbs/dscn5557_th.jpg","http://localhost:4000/shadowfigures/objects/dscn5557.jpg","http://localhost:4000/shadowfigures/items/object_0021.html#object_0021_0"
"object_0022","","Jing head","Jing head","compound_object","","","","/objects/thumbs/dscn5558_th.jpg","","Jing head. Wu jing. White painted face, pink blush; long black 3 strand opera style straight stachio and beard connect to ear; yellow hexagonal minister hat, blue clouds, black, green accents; yellow, black top knob; white diadem, ezi 額子, green central emblem, large red front pompom; black 慈菇葉 martial arrow; red neck ribbon. No lacquer.","http://localhost:4000/shadowfigures/objects/thumbs/dscn5558_th.jpg","","http://localhost:4000/shadowfigures/items/object_0022.html"
"object_0022_0","object_0022","","","image","image/jpg","/objects/dscn5558.jpg","/objects/small/dscn5558_sm.jpg","/objects/thumbs/dscn5558_th.jpg","image containing object_0022","","http://localhost:4000/shadowfigures/objects/thumbs/dscn5558_th.jpg","http://localhost:4000/shadowfigures/objects/dscn5558.jpg","http://localhost:4000/shadowfigures/items/object_0022.html#object_0022_0"
"object_0023","","Chou head","Chou head","compound_object","","","","/objects/thumbs/dscn5558_th.jpg","","Chou head. Wu chou. White patch covers nose, blush face, black triangle eye; black outline upper lip; black mark on bridge of nose; pink lips, teeth, tongue; green pate; pink hexagonal minister hat, blue clouds, black, green accents; pink, black top knob; white diadem, ezi 額子, green central emblem, large red front pompom; black ciguye 慈菇葉 martial arrow; red neck ribbon. No lacquer.","http://localhost:4000/shadowfigures/objects/thumbs/dscn5558_th.jpg","","http://localhost:4000/shadowfigures/items/object_0023.html"
"object_0023_0","object_0023","","","image","image/jpg","/objects/dscn5558.jpg","/objects/small/dscn5558_sm.jpg","/objects/thumbs/dscn5558_th.jpg","image containing object_0023","","http://localhost:4000/shadowfigures/objects/thumbs/dscn5558_th.jpg","http://localhost:4000/shadowfigures/objects/dscn5558.jpg","http://localhost:4000/shadowfigures/items/object_0023.html#object_0023_0"
"object_0024","","Jing head","Jing head","compound_object","","","","/objects/thumbs/dscn5558_th.jpg","","Jing head. Wu jing. Demon. Yellow painted face, black, red, white accents; thick red greasepaint style stachio to ear; red to pink ear tufts also point down below stachio; green pate; turquoise green hexagonal minister hat, white, black accents, many small red to pink pompom decos, turquoise green top knob; black ciguye 慈菇葉 martial arrow, red, turquoise green pompom decos; short red neck ribbon. No lacquer.","http://localhost:4000/shadowfigures/objects/thumbs/dscn5558_th.jpg","","http://localhost:4000/shadowfigures/items/object_0024.html"
"object_0024_0","object_0024","","","image","image/jpg","/objects/dscn5558.jpg","/objects/small/dscn5558_sm.jpg","/objects/thumbs/dscn5558_th.jpg","image containing object_0024","","http://localhost:4000/shadowfigures/objects/thumbs/dscn5558_th.jpg","http://localhost:4000/shadowfigures/objects/dscn5558.jpg","http://localhost:4000/shadowfigures/items/object_0024.html#object_0024_0"
"object_0025","","Jing head","Jing head","compound_object","","","","/objects/thumbs/dscn5559_th.jpg","","Jing head. Wu jing. Demon. Yellow painted face, black, red, white accents; blue outlined red mouth pulled down in a grimace; red to pink ear tufts also point down below chin; turquoise green ying luomao 硬羅帽 hexagonal minister hat, white, black accents,many small red to pink pompom decos, turquoise green top knob; black martial arrow with 3 small red, 2 turquoise green pompom decos; short red neck ribbon. No lacquer.","http://localhost:4000/shadowfigures/objects/thumbs/dscn5559_th.jpg","","http://localhost:4000/shadowfigures/items/object_0025.html"
"object_0025_0","object_0025","","","image","image/jpg","/objects/dscn5559.jpg","/objects/small/dscn5559_sm.jpg","/objects/thumbs/dscn5559_th.jpg","image containing object_0025","","http://localhost:4000/shadowfigures/objects/thumbs/dscn5559_th.jpg","http://localhost:4000/shadowfigures/objects/dscn5559.jpg","http://localhost:4000/shadowfigures/items/object_0025.html#object_0025_0"
"object_0026","","Jing head","Jing head","compound_object","","","","/objects/thumbs/dscn5810_th.jpg","","Jing head. Wu jing. Red painted face; black, natural white brow; blue ying luomao 硬羅帽 hexagonal minister hat, red, natural white accents, blue top knob; blue ear pompom; black ciguye 慈菇葉 martial arrow; short red neck ribbon. Lacquered.","http://localhost:4000/shadowfigures/objects/thumbs/dscn5810_th.jpg","","http://localhost:4000/shadowfigures/items/object_0026.html"
"object_0026_0","object_0026","","","image","image/jpg","/objects/dscn5810.jpg","/objects/small/dscn5810_sm.jpg","/objects/thumbs/dscn5810_th.jpg","image containing object_0026","","http://localhost:4000/shadowfigures/objects/thumbs/dscn5810_th.jpg","http://localhost:4000/shadowfigures/objects/dscn5810.jpg","http://localhost:4000/shadowfigures/items/object_0026.html#object_0026_0"
"object_0027","","Jing head","Jing head","compound_object","","","","/objects/thumbs/dscn5559_th.jpg","","Jing head. Wu jing. Demon. Dark grey painted face; black markings, natural white brow; grimace; black to grey ear tufts; black ying luomao 硬羅帽 hexagonal minister hat, blue,natural white repeat accents, black top knob; black ciguye 慈菇葉 martial arrow; short red neck ribbon. Lacquered.","http://localhost:4000/shadowfigures/objects/thumbs/dscn5559_th.jpg","","http://localhost:4000/shadowfigures/items/object_0027.html"
"object_0027_0","object_0027","","","image","image/jpg","/objects/dscn5559.jpg","/objects/small/dscn5559_sm.jpg","/objects/thumbs/dscn5559_th.jpg","image containing object_0027","","http://localhost:4000/shadowfigures/objects/thumbs/dscn5559_th.jpg","http://localhost:4000/shadowfigures/objects/dscn5559.jpg","http://localhost:4000/shadowfigures/items/object_0027.html#object_0027_0"
"object_0028","","Jing head","Jing head","compound_object","","","","/objects/thumbs/dscn5560_th.jpg","","Jing head. Wu jing. Dark grey painted face; black, pink accents; black, natural white brow; black stylized eye; red grimace; black; black ying luomao 硬羅帽 hexagonal minister hat, white pompom at ear; white hat accents, black top knob; black ciguye 慈菇葉 martial arrow; short red neck ribbon. No lacquer.","http://localhost:4000/shadowfigures/objects/thumbs/dscn5560_th.jpg","","http://localhost:4000/shadowfigures/items/object_0028.html"
"object_0028_0","object_0028","","","image","image/jpg","/objects/dscn5560.jpg","/objects/small/dscn5560_sm.jpg","/objects/thumbs/dscn5560_th.jpg","image containing object_0028","","http://localhost:4000/shadowfigures/objects/thumbs/dscn5560_th.jpg","http://localhost:4000/shadowfigures/objects/dscn5560.jpg","http://localhost:4000/shadowfigures/items/object_0028.html#object_0028_0"
"object_0029","","Chou head","Chou head","compound_object","","","","/objects/thumbs/dscn5560_th.jpg","","Chou head. Wu chou. Flesh face, white clown patch covers nose; black tufted Dali style stachio and soul patch; triangle eye; dissatisfied expression, red closed lips; red ying luomao 硬羅帽 hexagonal minister hat, black repeat accents, 8 small turquoise green pompoms, red top knob; turquoise green ear pompom; black ciguye 慈菇葉 martial arrow, 2 red, 3 turquoise green small pompoms; short blue neck ribbon..","http://localhost:4000/shadowfigures/objects/thumbs/dscn5560_th.jpg","","http://localhost:4000/shadowfigures/items/object_0029.html"
"object_0029_0","object_0029","","","image","image/jpg","/objects/dscn5560.jpg","/objects/small/dscn5560_sm.jpg","/objects/thumbs/dscn5560_th.jpg","image containing object_0029","","http://localhost:4000/shadowfigures/objects/thumbs/dscn5560_th.jpg","http://localhost:4000/shadowfigures/objects/dscn5560.jpg","http://localhost:4000/shadowfigures/items/object_0029.html#object_0029_0"
"object_0030","","Chou head","Chou head","compound_object","","","","/objects/thumbs/dscn5560_th.jpg","","Chou head. Wu chou. Flesh face, white clown patch covers nose; black tufted Dali stachio and soul patch; triangle eye; closed red lips. Blue ying luomao 硬羅帽 hexagonal minister hat, natural white, black repeats, blue top knob; red pompom at ear; black ciguye 慈菇葉 martial arrow with 3 small red and 2 blue pompoms; short red neck ribbon. Lacquered.","http://localhost:4000/shadowfigures/objects/thumbs/dscn5560_th.jpg","","http://localhost:4000/shadowfigures/items/object_0030.html"
